Element,Count
b'\x80&\x89\xc7\x16\xd4\x01`\xa7\x1a\x01\xbb\x06',9030
"b""'\x08\xb1\x15\xdc\xb5o\xcd\xe4x\x1f\x90\x11""",9005
b'~O\xad\xa7\xf0I\x01`\xb8d\x00P\x06',8996
b'E\x0c\xd5\xf4\xb9\xd6\xdd.\xdc\xf0\x00P\x06',8996
b'E\x0c\xd5\xf6\xd0\x95\xdd.\xdc\xe3\x00P\x06',8963
b'\x80&N\xb5\x9b\xee\x01`\xa7\x1a\x01\xbb\x06',8945
b'\x92\x91\xa1\xfb\xd2\xff\xd2l1\xa6\x00P\x06',8939
b'\xb7\xc7\x15\x01\xcb\xfb+\xfc\xe2\x06\x00P\x06',8930
b'\xd2\x1e\xbeg\x00P+\xfc\xe2\x17\xe6\xb7\x06',8920
b'\xcf\x88\x9e8\x12`\x01`\xa6\xd5\x01\xbb\x06',8915
b'\xd9\x8e\xb0W\xde\x13o\xcd\xe4\x94\x1f\x90\x11',8900
b'\xdc\x1bPO\x00PJ7\xffe\xc9\xbb\x06',8889
"b'\xcf\x834,\xbf6\x01`\xa7\x06\x01\xbb\x06'",8884
b'\xa9F\x197\xdd\xda+\xfc\xe04\x00P\x06',8874
b'\\\xd8\xbc\xc0\xc2_o\xcd\xe4\xbf\x1f\x90\x11',8864
b'\x99\xc1\x8f:\x00P+\xfc\xe0>\xf6N\x06',8859
b'\x82\x1a6\xe2\xd8\x80+\xfc\xe1*\x00P\x06',8858
b'~#e\xb4\xcb\xa4\x01\x92\x81\x8d\x01\xbb\x06',8855
b'\x93\xbc\x91\xe5\x00PF6\x1e\x14\xc1\xa1\x06',8854
b'l\x05^\xaf\xe5\x04\x01`\xa6\xcc\x01\xbb\x06',8848
b'\xcf\x890\xa7]\xa5\x01`\xa7g\x01\xbb\x06',8847
